Id;MSSubClass;MSZoning;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;SalePrice
545;60;RL;58;17104;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;179665
546;50;RL;NA;13837;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NWAmes;229000
547;50;RL;70;8737;Pave;NA;IR1;Bnk;AllPub;Inside;Gtl;BrkSide;210000
548;85;RL;54;7244;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Mitchel;129500
549;20;RM;49;8235;Pave;NA;IR1;HLS;AllPub;Inside;Gtl;OldTown;125000
550;60;FV;75;9375;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;263000
551;120;RL;53;4043;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NPkVill;140000
552;20;RM;50;6000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;112500
553;20;RL;87;11146;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;255500
554;20;RL;67;8777;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;108000
555;60;RL;85;10625;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;284000
556;45;RM;58;6380;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;113000
557;20;RL;69;14850;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;141000
558;50;C (all);60;11040;Pave;NA;Reg;Low;AllPub;Inside;Mod;IDOTRR;108000
559;60;RL;57;21872;Pave;NA;IR2;HLS;AllPub;FR2;Gtl;Gilbert;175000
560;120;RL;NA;3196;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Blmngtn;234000
561;20;RL;NA;11341;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Sawyer;121500
562;20;RL;77;10010;Pave;NA;Reg;Lvl;AllPub;Inside;Mod;Mitchel;170000
563;30;RL;63;13907;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;108000
564;50;RL;66;21780;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;185000
565;60;RL;NA;13346;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;NoRidge;268000
566;70;RL;66;6858;Pave;NA;Reg;Bnk;AllPub;Corner;Gtl;SWISU;128000
567;60;RL;77;11198;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;StoneBr;325000
568;20;RL;70;10171;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;214000
569;50;RL;79;12327;Pave;NA;IR1;Low;AllPub;Inside;Mod;SawyerW;316600
570;90;RL;NA;7032;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NAmes;135960
571;90;RL;74;13101;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;142600
572;20;RL;60;7332;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;120000
573;60;RL;83;13159;Pave;NA;IR1;HLS;AllPub;Corner;Gtl;Timber;224500
574;80;RL;76;9967;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;170000
575;80;RL;70;10500;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;NAmes;139000
576;50;RL;80;8480;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;118500
577;50;RL;52;6292;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SWISU;145000
578;80;RL;96;11777;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Sawyer;164500
579;160;FV;34;3604;Pave;Pave;Reg;Lvl;AllPub;Corner;Gtl;Somerst;146000
580;50;RM;81;12150;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;131500
581;20;RL;NA;14585;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;NAmes;181900
582;20;RL;98;12704;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;253293
583;90;RL;81;11841;Grvl;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;118500
584;75;RM;75;13500;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;325000
585;50;RM;51;6120;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;133000
586;20;RL;88;11443;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Timber;369900
587;30;RL;55;10267;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;130000
588;85;RL;74;8740;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Sawyer;137000
589;20;RL;65;25095;Pave;NA;IR1;Low;AllPub;Inside;Sev;ClearCr;143000
590;40;RM;50;9100;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;79500
591;60;RL;64;8320;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;185900
592;60;RL;97;13478;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NridgHt;451950
593;20;RL;60;6600;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Mitchel;138000
594;120;RM;NA;4435;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;140000
